"event","gender","standard","time"
"50 Freestyle","M","A","""00:19.18"""
"100 Freestyle","M","A","""00:42.37"""
"200 Freestyle","M","A","""01:33.34"""
"500 Freestyle","M","A","""04:13.60"""
"1650 Freestyle","M","A","""14:45.04"""
"100 Butterfly","M","A","""00:45.85"""
"200 Butterfly","M","A","""01:42.43"""
"100 Backstroke","M","A","""00:45.44"""
"200 Backstroke","M","A","""01:40.33"""
"100 Breaststroke","M","A","""00:52.08"""
"200 Breaststroke","M","A","""01:53.07"""
"200 Individual Medley","M","A","""01:42.43"""
"400 Individual Medley","M","A","""03:41.15"""
"50 Freestyle","M","B","""00:20.19"""
"100 Freestyle","M","B","""00:44.29"""
"200 Freestyle","M","B","""1:37.99"""
"500 Freestyle","M","B","""4:24.99"""
"1650 Freestyle","M","B","""15:30.39"""
"100 Butterfly","M","B","""00:48.29"""
"200 Butterfly","M","B","""1:47.99"""
"100 Backstroke","M","B","""00:48.49"""
"200 Backstroke","M","B","""1:46.39"""
"100 Breaststroke","M","B","""00:55.39"""
"200 Breaststroke","M","B","""1:59.79"""
"200 Individual Medley","M","B","""1:49.09"""
"400 Individual Medley","M","B","""3:54.49"""
"50 Freestyle","F","A","""00:21.86"""
"100 Freestyle","F","A","""00:47.79"""
"200 Freestyle","F","A","""1:43.82"""
"500 Freestyle","F","A","""4:36.30"""
"1650 Freestyle","F","A","""15:53.50"""
"100 Butterfly","F","A","""00:51.56"""
"200 Butterfly","F","A","""1:54.22"""
"100 Backstroke","F","A","""00:51.51"""
"200 Backstroke","F","A","""1:51.95"""
"100 Breaststroke","F","A","""00:59.04"""
"200 Breaststroke","F","A","""2:07.42"""
"200 Individual Medley","F","A","""1:55.35"""
"400 Individual Medley","F","A","""4:05.37"""
"50 Freestyle","F","B","""00:22.99"""
"100 Freestyle","F","B","""00:49.99"""
"200 Freestyle","F","B","""1:48.99"""
"500 Freestyle","F","B","""4:47.79"""
"1650 Freestyle","F","B","""16:30.59"""
"100 Butterfly","F","B","""00:54.49"""
"200 Butterfly","F","B","""1:59.59"""
"100 Backstroke","F","B","""00:54.49"""
"200 Backstroke","F","B","""1:59.19"""
"100 Breaststroke","F","B","""1:02.49"""
"200 Breaststroke","F","B","""2:15.99"""
"200 Individual Medley","F","B","""2:01.59"""
"400 Individual Medley","F","B","""4:19.39"""
